,Source,Time,Protocol
0,192.168.202.138,0.0,TCP
1,192.168.202.138,0.0,TCP
2,192.168.202.138,0.0,TCP
3,192.168.202.138,0.0,TCP
4,192.168.202.138,0.0,TCP
5,192.168.202.138,0.0,TCP
6,192.168.202.138,0.0,TCP
7,192.168.202.138,0.0,TCP
8,192.168.202.138,0.0,TCP
9,192.168.202.138,0.0,TCP
10,192.168.202.138,0.0,TCP
11,192.168.202.138,0.0,TCP
12,192.168.202.138,0.0,TCP
13,192.168.202.138,0.0,TCP
14,192.168.202.138,0.0,TCP
15,192.168.202.138,0.0,TCP
16,192.168.27.1,0.0,TCP
17,192.168.202.138,0.0,TCP
18,192.168.202.138,0.0,TCP
19,192.168.202.138,0.0,TCP
20,192.168.202.138,0.0,TCP
21,192.168.202.138,0.0,TCP
22,192.168.202.138,0.0,TCP
23,192.168.202.138,0.0,TCP
24,192.168.202.138,0.0,TCP
25,192.168.202.138,0.0,TCP
26,192.168.202.138,0.0,TCP
27,192.168.27.1,0.0,TCP
28,192.168.27.1,0.0,TCP
29,192.168.27.1,0.0,TCP
30,192.168.27.1,0.0,TCP
31,192.168.27.1,0.0,TCP
32,192.168.27.1,0.01,TCP
33,192.168.27.1,0.01,TCP
34,192.168.27.1,0.01,TCP
35,192.168.27.1,0.01,TCP
36,192.168.27.1,0.01,TCP
37,192.168.27.1,0.01,TCP
38,192.168.27.1,0.01,TCP
39,192.168.27.1,0.01,TCP
40,192.168.27.1,0.01,TCP
41,192.168.27.1,0.01,TCP
42,192.168.27.1,0.01,TCP
43,192.168.27.1,0.01,TCP
44,192.168.27.1,0.01,TCP
45,192.168.27.1,0.01,TCP
46,192.168.27.1,0.02,TCP
47,192.168.27.1,0.02,TCP
48,192.168.27.1,0.02,TCP
49,192.168.27.1,0.02,TCP
50,192.168.202.138,0.02,TCP
51,192.168.202.138,0.02,TCP
52,192.168.202.138,0.02,TCP
53,192.168.202.138,0.02,TCP
54,192.168.202.138,0.02,TCP
55,192.168.202.138,0.02,TCP
56,192.168.202.138,0.02,TCP
57,192.168.27.1,0.02,TCP
58,192.168.202.138,0.02,TCP
59,192.168.202.138,0.02,TCP
60,192.168.202.138,0.02,TCP
61,192.168.202.138,0.02,TCP
62,192.168.202.138,0.02,TCP
63,192.168.202.138,0.02,TCP
64,192.168.202.138,0.02,TCP
65,192.168.202.138,0.02,TCP
66,192.168.202.138,0.02,TCP
67,192.168.202.138,0.02,TCP
68,192.168.202.138,0.02,TCP
69,192.168.202.138,0.02,TCP
70,192.168.202.138,0.02,TCP
71,192.168.202.138,0.02,TCP
72,192.168.202.138,0.02,TCP
73,192.168.202.138,0.02,TCP
74,192.168.202.138,0.02,TCP
75,192.168.27.1,0.02,TCP
76,192.168.202.138,0.02,TCP
77,192.168.202.138,0.02,TCP
78,192.168.202.138,0.02,TCP
79,192.168.202.138,0.02,TCP
80,192.168.202.138,0.02,TCP
81,192.168.202.138,0.02,TCP
82,192.168.202.138,0.02,TCP
83,192.168.202.138,0.02,TCP
84,192.168.202.138,0.02,TCP
85,192.168.27.1,0.02,TCP
86,192.168.27.1,0.02,TCP
87,192.168.27.1,0.02,TCP
88,192.168.27.1,0.02,TCP
89,192.168.27.1,0.02,TCP
90,192.168.27.1,0.02,TCP
91,192.168.27.1,0.03,TCP
92,192.168.27.1,0.03,TCP
93,192.168.202.138,0.03,TCP
94,ASUSTekC_1a:aa:3c,0.03,ARP
95,192.168.27.1,0.03,TCP
96,192.168.202.138,0.03,TCP
97,192.168.27.1,0.03,TCP
98,192.168.27.1,0.03,TCP
99,192.168.27.1,0.03,TCP
